model_name,suggestion_rank,suggestion_text,similarity
word2vec_lemmatized_cbow_window2_dim100,1,blasphemer persecutor injurious obtained mercy ignorantly unbelief,0.9778062105178833
word2vec_lemmatized_cbow_window2_dim100,2,remembered u low estate mercy endureth ever,0.9672293663024902
word2vec_lemmatized_cbow_window2_dim100,3,indeed guidance mercy believer,0.9659863114356995
word2vec_lemmatized_cbow_window2_dim100,4,shall judgment without mercy hath shewed mercy mercy rejoiceth judgment,0.9648639559745789
word2vec_lemmatized_cbow_window2_dim100,5,observe lying vanity forsake mercy,0.9646709561347961
word2vec_lemmatized_cbow_window2_dim300,1,blasphemer persecutor injurious obtained mercy ignorantly unbelief,0.9780908823013306
word2vec_lemmatized_cbow_window2_dim300,2,remembered u low estate mercy endureth ever,0.9774987101554871
word2vec_lemmatized_cbow_window2_dim300,3,shall judgment without mercy hath shewed mercy mercy rejoiceth judgment,0.9747777581214905
word2vec_lemmatized_cbow_window2_dim300,4,god rich mercy great love wherewith loved u,0.9731913208961487
word2vec_lemmatized_cbow_window2_dim300,5,indeed guidance mercy believer,0.9707273244857788
word2vec_lemmatized_cbow_window4_dim100,1,blasphemer persecutor injurious obtained mercy ignorantly unbelief,0.9769111275672913
word2vec_lemmatized_cbow_window4_dim100,2,shall judgment without mercy hath shewed mercy mercy rejoiceth judgment,0.9734756946563721
word2vec_lemmatized_cbow_window4_dim100,3,remembered u low estate mercy endureth ever,0.9722940921783447
word2vec_lemmatized_cbow_window4_dim100,4,willeth runneth god sheweth mercy,0.9696087837219238
word2vec_lemmatized_cbow_window4_dim100,5,degree high position forgiveness mercy allah ever forgiving merciful,0.9685631394386292
word2vec_lemmatized_cbow_window4_dim300,1,blasphemer persecutor injurious obtained mercy ignorantly unbelief,0.9801207780838013
word2vec_lemmatized_cbow_window4_dim300,2,shall judgment without mercy hath shewed mercy mercy rejoiceth judgment,0.9793931841850281
word2vec_lemmatized_cbow_window4_dim300,3,degree high position forgiveness mercy allah ever forgiving merciful,0.975986123085022
word2vec_lemmatized_cbow_window4_dim300,4,indeed guidance mercy believer,0.9759135842323303
word2vec_lemmatized_cbow_window4_dim300,5,mercy lord indeed hearing knowing,0.9757352471351624
word2vec_lemmatized_skipgram_window2_dim100,1,degree high position forgiveness mercy allah ever forgiving merciful,0.9209387302398682
word2vec_lemmatized_skipgram_window2_dim100,2,indeed guidance mercy believer,0.9196640849113464
word2vec_lemmatized_skipgram_window2_dim100,3,remembered u low estate mercy endureth ever,0.9191074967384338
word2vec_lemmatized_skipgram_window2_dim100,4,lord merciful gracious slow anger plenteous mercy,0.9190029501914978
word2vec_lemmatized_skipgram_window2_dim100,5,selects mercy will allah possessor great bounty,0.9187621474266052
word2vec_lemmatized_skipgram_window2_dim300,1,indeed guidance mercy believer,0.9373686909675598
word2vec_lemmatized_skipgram_window2_dim300,2,admitted mercy indeed righteous,0.9316828846931458
word2vec_lemmatized_skipgram_window2_dim300,3,admitted mercy indeed righteous,0.9316828846931458
word2vec_lemmatized_skipgram_window2_dim300,4,lord merciful gracious slow anger plenteous mercy,0.930734395980835
word2vec_lemmatized_skipgram_window2_dim300,5,degree high position forgiveness mercy allah ever forgiving merciful,0.9299367070198059
word2vec_lemmatized_skipgram_window4_dim100,1,admitted mercy indeed righteous,0.9413547515869141
word2vec_lemmatized_skipgram_window4_dim100,2,admitted mercy indeed righteous,0.9413547515869141
word2vec_lemmatized_skipgram_window4_dim100,3,degree high position forgiveness mercy allah ever forgiving merciful,0.9289935827255249
word2vec_lemmatized_skipgram_window4_dim100,4,selects mercy will allah possessor great bounty,0.9277400970458984
word2vec_lemmatized_skipgram_window4_dim100,5,indeed guidance mercy believer,0.9229754209518433
word2vec_lemmatized_skipgram_window4_dim300,1,degree high position forgiveness mercy allah ever forgiving merciful,0.9354531764984131
word2vec_lemmatized_skipgram_window4_dim300,2,admitted mercy indeed righteous,0.9295853972434998
word2vec_lemmatized_skipgram_window4_dim300,3,admitted mercy indeed righteous,0.9295853972434998
word2vec_lemmatized_skipgram_window4_dim300,4,selects mercy will allah possessor great bounty,0.9234601855278015
word2vec_lemmatized_skipgram_window4_dim300,5,believed fear allah believe messenger give double portion mercy make light walk forgive allah forgiving merciful,0.9150859713554382
word2vec_stemmed_cbow_window2_dim100,1,forgiv affection,0.999718189239502
word2vec_stemmed_cbow_window2_dim100,2,forgiv us debt forgiv debtor,0.9594582319259644
